Date,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar
11/23/1999,-0.239,-3.879,7.88783652,4.92372913,0.98176141,0.94702507
11/24/1999,0.323,-3.112,4.5970902,3.27242933,0.98597621,1.06284391
11/25/1999,-0.377,-4.193,0.73814432,2.33562392,0.98777047,2.06015623
11/26/1999,0.584,-0.042,2.3963922,3.65333821,0.99729653,0.75329982
11/27/1999,0.714,0.185,nan,3.87495489,0.99752882,0.96035562
11/28/1999,2.062,0.523,1.62134182,3.40709973,0.99676178,0.78913116
11/29/1999,3.655,0.00599999,0.64716402,4.92085153,0.94087444,1.64160234
11/30/1999,2.598,0.002,0.97675503,4.58823497,0.91736966,0.62746866
12/1/1999,6.505,1.113,6.07338054,8.05285318,0.88169966,0.40899391
12/2/1999,5.282,2.826,7.50331558,6.3954203,0.8717034,0.5760567
12/3/1999,5.057,2.395,4.67605512,6.70350589,0.85780803,0.77265018
12/4/1999,6.749,2.464,6.03561276,8.13089109,0.80606535,0.78795054
12/5/1999,2.297,-0.146,0.71067827,3.54748217,0.85691642,1.44163108
12/6/1999,1.363,-1.792,1.12266484,4.1314313,0.9268616,1.58866866
12/7/1999,4.463,-0.256,13.3569766,6.91194446,0.92261438,0.31938746
12/8/1999,4.574,3.248,5.472567,6.62398443,0.8735655,0.59484366
12/9/1999,5.712,1.493,0.76045939,5.14935351,0.89675346,0.64259982
12/10/1999,6.087,4.615,0.54245001,4.21672408,0.90669991,0.94629384
12/11/1999,5.631,4.145,0.41198703,2.83890952,0.91418612,2.06634384
12/12/1999,8.336,4.365,4.67262129,6.4691767,0.84129338,0.81393703
12/13/1999,7.22,2.118,1.91230719,4.92734032,0.79431329,1.35140652
12/14/1999,3.69,1.502,2.42042721,3.66083617,0.81695304,2.03383224
12/15/1999,2.715,0.721,2.32429494,4.46268619,0.83944554,1.39117581
12/16/1999,1.659,-1.01,1.11923169,4.49096153,0.87202699,1.40765605
12/17/1999,0.136,-1.701,0.35705545,5.65788983,0.69535962,2.50740108
12/18/1999,2.176,-0.197,3.35426324,6.54335912,0.80257448,0.79008777
12/19/1999,0.464,-1.332,0.8342742,4.57352661,0.85880488,1.81468053
12/20/1999,0.224,-1.518,0.84114073,3.24414837,0.82418486,2.73611313
12/21/1999,0.664,-1.253,1.28574385,3.52194634,0.8157926,1.79521884
12/22/1999,-1.094,-4.576,0.05149839,2.16942631,0.70870348,2.80586196
12/23/1999,-2.51,-5.531,0,4.39265598,0.65071438,2.95711479
12/24/1999,-2.053,-5.465,0,nan,0.63793594,3.04385445
12/25/1999,-2.33,-6.331,2.0702376,5.91399632,0.85237756,2.52028008
12/26/1999,0.21,-2.72,6.80294046,4.20333392,0.91542512,1.23744384
12/27/1999,0.428,-1.413,6.16607424,4.78273431,0.95125134,0.84701257
12/28/1999,0.907,-1.021,0.69866182,2.30175006,0.96917454,1.50108768
